index,language,source,question,option_A,option_B,option_C,option_D,option_E,correct_option,question_EN,option_A_EN,option_B_EN,option_C_EN,option_D_EN,option_E_EN,,,,,,,,,,,,,,
104,AR-LB,national_official_exam_unofficial_source,"امرأة تبلغ من العمر 53 عاماً تحضر إلى المستشفى بسبب ألم بطني. لقد تم تشخيص إصابتها لالتهاب مرارة وخضعت لعملية استئصال مرارة. في اليوم التالي بدأت تشكو من خفقان. عند سؤالها أفادت أنها لاحظت نبضات قلب بدأت/تختفي في الأشهر القليلة الماضية ولكن تفاقم بشدة خلال هذه النوبة. لقد أفادت أيضاً أنها خسرت 15 كلغ من وزنها على مدى الشهر الماضي. هي تنفي الدوخة، الإغماء، ضيق تنفس، أو ألم في الصدر. المعروف من تاريخها أنها تعاني من فرط شحوم دم وغير ذلك فهي سليمة. يشمل العلاج أسبرين وأتورفاستاتين. العلامات الحيوية: الحرارة = 39.1 س، ضغط الدم = 155/88 ملم زئبق، النبض = 134. إشباع الأوكسجين في جو الغرفة = 96%. الفحص السريري: المريضة مضطربة وتبدو مرتبكة وفي بعض الأحيان تجيب بشكل غير مناسب على الأسئلة. الجلد غير متعرق. الرقبة ليّنة بدون إيلام ولا وجود لعقيدات مجسوسة أو متضخمة. يظهر فحص القلب توتر غير طبيعي وسرعة ولا وجود لنفخات. يؤكد تخطيط القلب الكهربائي رجفان أذيني مع استجابة بطينية سريعة. TSH هو أقل من 0.01 ملي وحدة / ليتر. ما هي الخطوة التالية الأنسب في تدبير هذه المريضة؟",مسح التقاط اليود المشع,اليود,موجات فوق الصوت للدرق,بروبرانولول,استئصال غدة الدرق,4,"A 53-year-old female presents to the hospital with abdominal pain. She is diagnosed with cholecystitis and has a cholecystectomy performed. The following day she complains of palpitations. On questioning she has had an irregular heart beat off/on for the past few months but acutely worsened during this episode. She also notes a 7 kg weight loss over the past month. She denies dizziness, syncope, dyspnea, or chest pain. She has a known history of hyperlipidemia but has otherwise been healthy. Medications include acetylsalicylic acid and atorvastatin. Vitals: Temperature = 39.1°C, BP = 155/88 mm Hg, pulse = 134, Oxygen saturation at room air = 96%. Physical examination: patient is agitated an appears confused, sometimes answering questions inappropriately. Skin is diaphoretic. Neck is supple without tenderness and no palpable nodules or enlargement. Cardiac examination reveals an irregular rhythm, tachycardia, and no murmurs. ECG confirms atrial fibrillation with rapid ventricular response. Thyroid stimulating hormone is <0.01 mU/L. What is the most appropriate next step in the management of this patient?",Radioactive iodine uptake scan,Iodine,US thyroid,Propranolol,Thyroidectomy,,,,,,,,,,,,,,
105,AR-LB,national_official_exam_unofficial_source,"رجل يبلغ من العمر 61 عاماً والذي كان مريضك لعدة سنين، يحضر إلى عيادتك وهو يشكو من نوبتين بول دموي على مدى 24 ساعة الماضية. هو ينفي أي ألم في الخاصرة، عسر تبول، حرارة، أو قشعريرة. تدفق البول قوي، هو قادر على التبول بشكل كامل وينفي الحاجة للبدء أو التوقف أو التصعيفية أثناء التبول. يبرز في تاريخه الطبي السابق فرط شحوم الدم، ارتفاع ضغط الدم، داء سكري، والزرق (الجلوكوما)، والتهاب مفاصل عظمي. هو يدخن علبة واحدة من السجائر يومياً منذ 35 إلى 40 عاماً. لا يظهر الفحص السريري مرض أو ألم عضلي أو ألام فوق العانة. يظهر فحص البروستات عدم تلامس، مع ضخم متضخم. يظهر تحليل البول بيلة دموية كبيرة بدون بيلة بروتينية، بيلة قيحية، أو اسطوانات كريات دم حمراء. كرياتنين 1.1 ملغ/دسل. زرع البول سلبي. ما هي الخطوة التالية المناسبة في تدبير هذا المريض؟",تصوير مقطعي محوري للجهاز البولي,موجات فوق الصوت للكلى,خزعة كلوية,PSA,خزعة بروستات,1,"A 61-year-old male who has been your patient for several years presents to your office with a complaint of two episodes of bloody urine over the past 24 hours. He denies any flank pain, dysuria, fevers, or chills. His urine stream is strong, he is able to void completely and he denies the need to start/stop or strain during urination. Past medical history is significant for hyperlipidemia, hypertension, diabetes, glaucoma, and osteoarthritis. He has smoked one pack of cigarettes per day for the past 35 to 40 years. Physical examination reveals no costovertebral angle or suprapubic tenderness. Prostate examination reveals nontender, nonenlarged prostate. Urinalysis shows gross hematuria without proteinuria, pyuria, or red blood cells casts. Cr = 1.1 mg/dL. Urine culture is negative. What is the appropriate next step in managing this patient?",CT urography,Ultrasound kidneys,Renal biopsy,Prostate specific antigen,Prostate biopsy,,,,,,,,,,,,,,
106,AR-LB,national_official_exam_unofficial_source,"رجل يبلغ من العمر 57 عاماً يحضر إلى عيادتك وهو يعاني من السعال لمدة أسبوعين. السعال مترافق مع قشع صافي، يحدث يومياً وهو مستمر على مدى الأسبوعين الماضيين. يحدث له ضيق تنفس وأزيز في أوقات مختلفة. هو ينفي أي ألم عضلات، وحمى، أو رعشة. لقد عانى من إنزعاج في الصدر بسبب السعال المفرط تاريخه الطبي السابق سلبي وهو لا يأخذ أي أدوية وينكر سابقة مرض رئوي. الحرارة 37.2 س، سرعة التنفس 18، إشباع الأوكسجين 96% في جو الغرفة. عند الفحص السريري، لم يكن المريض يعاني معاناة تنفسية وهو يتنفس بشكل مريح. يبدو من التسمع الرئوي غطاط متناثرة وأزيز ولكن دون تصلب، نفاخ، أو كركرة. تظهر الأشعة السينية للصدر توسع طبيعي للرئتين دون رشحة أو انصباب. ذروة التدفق هو 530 ليتر/د (المتوقع 556 ليتر / د). ما هو التدبير الأنسب؟",بريدنيزون,أوسلتاميفير,أزيتروميسين,ألبوتيرول,زرع القشع,4,"A 57-year-old male presents to your office with a 2-week history of cough. The cough is associated with clear sputum, occurs daily and has persisted over the past 2 weeks. He has occasional dyspnea and wheezing at times. He denies myalgias, fevers, or chills. He has experienced chest discomfort due to excessive coughing. Past medical history is negative and he takes no medications and specifically denies any history of pulmonary disease. Temperature is 37.2°C. RR = 18. O₂ saturation is 96% on room air. On examination, the patient is in no respiratory distress and is breathing comfortably. Auscultation of lungs reveals scattered rhonchi and wheezing but no consolidation, egophony, or crackles. Chest X-ray shows normal expansion of the lungs without infiltrates or effusions. Peak flow is 530 L/min (expected 556 L/min). What is the most appropriate management?",Prednisone,Oseltamivir,Azithromycin,Albuterol,Sputum culture,,,,,,,,,,,,,,
107,AR-LB,national_official_exam_unofficial_source,"ذكر مراهق يبلغ من العمر 14 عاماً يعاني من طفح جلدي مترافق بحكة شديدة في اليدين، القدمين، والأعضاء التناسلية. هناك نقب خطية في ثنايا اليدين والقدمين وعقيدات على كيس الصفن. ما هي العضوية المسببة لهذه الظاهرة؟",القوباء الجربية,ناخس الجلد المتنقل,البق الفراشي,قمل الرأس البشرية,,1,"A 14-year-old adolescent male has an intensely pruritic rash of the hands, feet, and genitals. There are linear burrows in the creases of the hands and feet, and nodules on the scrotum. Which organism is the most likely cause of his presentation?",Sarcoptes scabiei,Dermacentor variabilis,Cimex lectularius,Pediculus humanus corporis,None,,,,,,,,,,,,,,
108,AR-LB,national_official_exam_unofficial_source,"طفل يبلغ من العمر 3 سنوات يعاني من ألم أذني منذ وقته، بأي من التالي يمكن الشك؟",خراج خلف البلعوم,خراج مجاور للبلعوم,التهاب الخشاء,التهاب اللوزتين,None,3,"In a 3-year-old child with persistent otorrhea, one would suspect which of the following?",Retropharyngeal abscess,Parapharyngeal abscess,Mastoiditis,Tonsillitis,None,,,,,,,,,,,,,,
109,AR-LB,national_official_exam_unofficial_source,"رجل يبلغ من العمر 32 عاماً، والذي انتقل مؤخراً إلى المنطقة. يحضر إلى عيادتك لأول مرة من أجل فحص روتيني. يبرز في تاريخه الطبي السابق داء سكري نمط II. طوله 175 سم ووزنه 98 كغ. الدواء الوحيد الذي يأخذه هو متفورمين. هو يدخن نصف علبة دخان يومياً، لا يتعاطى الكحول، ويمارس الرياضة بشكل متقطع، تقريباً مرة كل أسبوعين. لقد توفيت والدته عن عمر 62 عاماً بسبب احتشاء عضلة قلبية. والده يبلغ من العمر 73 عاماً وهو يتمتع بصحة جيدة. الفحص السريري طبيعي. العلامات الحيوية هي: ضغط الدم = 146/95، النبض = 73، سرعة التنفس = 19، الحرارة = 36.7 س. أي من التغيرات التالية في نمط الحياة قد ثبت أنه يؤدي إلى أكبر انخفاض في ضغط الدم؟",النهج الغذائي لوقف ارتفاع ضغط الدم (DASH),فقدان وزن,تناقص استهلاك الكحول,زيادة التمارين الرياضية,الإقلاع عن التدخين,2,"A 32-year-old male, who recently moved to the area, presents to your office for the first time for a routine checkup. Past medical history is significant for type II diabetes mellitus. He is 175 cm and weighs 98 kg. The only medication he takes is metformin. He smokes half a pack of cigarettes a day; does not drink alcohol; and exercises sporadically, approximately once every 2 weeks. His mother died at the age of 62 due to a myocardial infarction. His father is 73 years of age and is healthy. Physical examination is normal. Vital Signs are: BP = 146/95, pulse = 73, RR = 19, temperature = 36.7°C. Which of the following lifestyle modifications has been shown to result in the greatest reduction in blood pressure?",Dietary Approaches to Stop Hypertension (DASH) diet,Weight loss,Decreasing alcohol consumption,Increasing exercise,Smoking cessation,,,,,,,,,,,,,,
110,AR-LB,national_official_exam_unofficial_source,"فتاة تبلغ من العمر 17 عاماً أدخلت إلى قسم الطوارئ بناء على طلب الطبيب، وهي تعاني من حرارة، عسر تبول وإقياء منذ 3 أيام. هي تنفي أي إفراز مهبلي، ألم بطني، أو إسهال. هي جنسياً مع خليلها. العلامات الحيوية كالتالي: الحرارة = 39.4 س، سرعة التنفس = 20، ضغط الدم = 65/98، النبض = 100. هي تبدو مريضة وغير قادرة على تحمل السوائل، لكن هي في حالة تأهب وتوجه. فحصها السريري إيجابي لألام ثنائي الجانب في الزاوية العانية والضلعية الفقرية. يظهر من تحليل البول العديد من كريات الدم البيضاء والجراثيم، وهو إيجابي لإسترارز كريات الدم البيضاء واسترات الكريات البيضاء. نتائج الفحوص المخبرية الأخرى هي ضمن الحدود الطبيعية، بما في ذلك فحص حمل بول سلبي. ما هو التشخيص المرجح؟",التهاب الحويضة والكلية,حصى كلوي,التهاب الزائدة الدودية,حمل منتبذ,التهاب كلية خلالي حاد,1,"A 17-year-old female is referred to the emergency department by her primary physician; she presents with a 3-day history of fevers, dysuria, and vomiting. She denies vaginal discharge, abdominal pain, or diarrhea. She is sexually active with her boyfriend. Vital Signs are as follows: Temperature = 39.4°C, RR = 20, BP = 98/65, pulse = 100. She appears ill and is unable to tolerate liquids, but she is alert and oriented. Her examination is positive for suprapubic as well as costovertebral angle tenderness bilaterally. Urinalysis reveals numerous white blood cells and bacteria, and it is positive for white blood cell casts and leukocyte esterase. Other laboratory study results are within normal limits, including a negative urine pregnancy test. What is the likely diagnosis?",Pyelonephritis,Nephrolithiasis,Appendicitis,Ectopic pregnancy,Acute interstitial nephritis,,,,,,,,,,,,,,
111,AR-LB,national_official_exam_unofficial_source,رجل يبلغ من العمر 32 عاماً يحضر إلى قسم الطوارئ مع شكوى من ألم شديد في أسفل الظهر لـ 5 أسابيع الماضية. هو يفيد أن الألم هو أكثر شدة عندما يستيقظ أولاً في الصباح ويتحسن تدريجياً مع النشاط على مدار اليوم. هو لا يمكن أن يتذكر أي رضة أو أذية على ظهره عند بدء الألم. هو ينفي أي ألم أو خدر في الأطراف السفلية. وظيفة الإمعاء والمثانة طبيعية. يظهر الفحص الفيزيائي رجل يعاني من زيادة وزن متوسطة وبعض الكرب. هو يعاني من إيلام قليل جداً عند الجس في أسفل ظهره. الفحص العصبي طبيعي. ما هي الخطوة التالية الأنسب في تدبير هذا المريض؟,تسخين موضعي,علاج فيزيائي,مضادات التهاب غير ستيروئيدي,حقن ستيروئيد فوق الجافية,استئصال صفيحة فقرية جراحي,3,A 32-year-old male presents to the emergency department with a complaint of severe low back pain for the last 5 weeks. He reports that the pain is most severe when he first wakes up in the morning and gradually improves with exercise throughout the day. He cannot recall any trauma or insult to his back when the pain started. He denies any pain or numbness in the lower extremities. Bowel and bladder function is normal. Physical examination reveals a moderately overweight male in some distress. He has very minimal tenderness on palpation of his low back. Neurologic examination is normal. What is the appropriate next step in managing this patient?,Local heat,Physical therapy,Nonsteroidal anti-inflammatory drugs (NSAIDs),Epidural steroid injection,Surgical laminectomy,,,,,,,,,,,,,,
112,AR-LB,national_official_exam_unofficial_source,"رجل يبلغ من العمر 29 عاما مع تاريخ من الربو يحضر إلى قسم الطوارئ وهو يعاني من ضيق تنفس شديد على مدى اليومين الماضيين. هو يشكو أيضا من التهاب الحلق، وتوعك عام، وسعال غير منتج. هو ينفي ألم، حمى، أو رعشة. الحرارة = 37.1°س، سرعة القلب = 95، سرعة التنفس = 33، ضغط الدم = 82/140، إشباع أوكسجين = 90% في جو الغرفة. التنفس مجهد وكلامه بنبرات قصيرة. يظهر تسمع الرئة انتشار أزيز زفيري منتشر ثنائي الجانب. لا يوجد شرى أو وذمة وعائية عند فحص الجلد. غاز الدم الشرياني: 7.42/43/70/22. ما هو التدبير العلاجي الأنسب لهذا المريض؟","تطبيق حذر للأوكسجين، استهداف SaO2<94% لمنع فرط ثنائي أكسيد الكربون في الدم",سيفترياكسون وأزيثرومايسين وريدي,إيبنفرين تحت الجلد لتوسيع القصبات,إيبراتروبيوم إرذاذي لتوسيع القصبات,ألبوتيرول إرذاذي لتوسيع القصبات,5,"A 29-year-old male with a history of asthma presents to the emergency department with severe shortness of breath for the past 2 days. He also complains of sore throat, generalized malaise, and a nonproductive cough. He denies chest pain, fever, and chills. Temperature = 37.1°C, HR = 95, RR = 33, BP = 140/82, and O₂ saturation = 90% on room air. Breathing is labored, and he is speaking in short gasps. Lung auscultation reveals bilateral diffuse expiratory wheezing. There is no urticaria or angioedema on skin examination. Arterial blood gases is drawn: 7.42/43/70/22. What is the appropriate next step in managing this patient?","Cautious oxygen administration, targeting an SaO₂<94% to prevent hypercapnia",IV ceftriaxone and azithromycin,Subcutaneous epinephrine for bronchodilation,Nebulized ipratropium for bronchodilation,Nebulized albuterol for bronchodilation,,,,,,,,,,,,,,
113,AR-LB,national_official_exam_unofficial_source,"طفل يبلغ من العمر 5 سنوات يعاني من صعوبة في التنفس والبلع. عند الفحص السريري، تبين أن الطفل مصاب بحمى، تسرع قلب وتسرع تنفس. هو قلق، يسيل لعابه، وأصبح منهكا على نحو متزايد بينما هو يكافح من أجل التنفس. أي من التالي هو التدبير العلاجي الأنسب عند هذا المريض؟",فحص جوف الفم في السرير,مضادات حيوية وريدية ونقله إلى المستشفى,تنبيب رغامي فوري في قسم الطوارئ,تنبيب رغامي فوري في غرفة العمليات,None,4,"A 5-year-old presents with difficulty breathing and swallowing. On physical examination, the child is febrile, tachycardic, and tachypneic. He is anxious, drooling, and becomes increasingly exhausted while struggling to breathe. Which of the following is the most appropriate management of this patient?",Examine the oral cavity at bedside,Intravenous antibiotics and admission,Immediate endotracheal intubation in the emergency department,Immediate endotracheal intubation in the operating room,None,,,,,,,,,,,,,,
114,AR-LB,national_official_exam_unofficial_source,لأي من الأسباب التالية يستخدم عادة عامل فعال على السطح خارجي المنشأ عند حديثي الولادة؟,الرضيع يعاني من انخفاض وزن عند الولادة وضائقة تنفسية,لمنع متلازمة ضائقة تنفسية للرضع الخدج,حديث الولادة تم تشخيصه مرض غشاء الهيالين,كل الأجوبة أعلاه صحيحة,كل الأجوبة أعلاه غير صحيحة,4,Exogenous surfactant often is administered to neonates for which of the following reasons?,The infant has a low birth weight and respiratory distress,To prevent respiratory distress syndrome in premature infants,The newborn is diagnosed with hyaline membrane disease,All of the above,None of the Above,,,,,,,,,,,,,,
115,AR-LB,national_official_exam_unofficial_source,"فتاة تبلغ من العمر 22 عاما تحضر إلى قسم الطوارئ مع ظهور مفاجئ لطفح جلدي، حرارة، وإقياء. العلامات الحيوية هي كالتالي: الحرارة = 40° س، سرعة القلب = 118، سرعة التنفس = 22، ضغط الدم = 40/76، ومقياس التأكسج = 98% في جو الغرفة. عند الفحص السريري، هي تبدو مرتبكة ومشوشة بشرتها دافئة، وهناك طفح بقعي منتشر على كافة أنحاء جسمها. لقد تم قبولها في وحدة العناية المركزة وبعد ذلك تطور خلل وظيفي عضوي متعدد الأجهزة. أي من العضويات التالية هي على الأرجح متورطة في تشخيص هذا المريض؟",المكورات العنقودية القيحية,النايسريا السحائية,المكورات العنقودية الذهبية,مكورات عنقودية رئوية,ريكتسيا,3,"A 22-year-old female presents to the emergency department with abrupt onset of a rash, high fever, and vomiting. Vital signs are as follows: Temperature = 40°C, HR = 118, RR = 22, BP = 76/40, and pulse oximetry = 98% on room air. On examination, she appears confused and disoriented. Her skin is warm, and there is a diffuse macular rash over her body. She is admitted to the intensive care unit and subsequently develops multisystem organ dysfunction. Which of the following organisms is most likely implicated in this patient's diagnosis?",Streptococcus pyogenes,Neisseria meningitidis,Staphylococcus aureus,Streptococcus pneumoniae,Rickettsia rickettsii,,,,,,,,,,,,,,
116,AR-LB,national_official_exam_unofficial_source,"رجل يبلغ من العمر 33 عاما حضر إلى العيادة وهو يعاني من الم الصدر لمدة 4 أيام. يمتد الألم نحو الجانب الأيمن من الرقبة وهو يسوء بالشهيق العميق ويتحسن بالميول إلى الأمام. قبل عدة أسابيع كان ملازما لحمى وسعال، تحسنا منذ ذلك الحين. هو غير حروري، ضغط الدم 130/85، والنبض 88. عند الفحص السريري، سمع خشخشة على الحدود القصية اليسرى عند الزفير. يظهر تخطيط القلب الكهربائي رفع ST في اتجاه I، II، III، aVL، وV2 إلى V6. لقد تم تقديم علاج لهذا المريض ولكنه رفض جميع الأدوية. أي من التالي هو من المضاعفات الأكثر شيوعا إذا بقي هذا المريض دون علاج؟",اندحاس قلبي,التهاب تامور راجع,التهاب التامور الضيق,تمزق الجدار الحر البطيني,قصور صمامي,2,"A 33-year-old male comes to the clinic with a 4-day history of chest pain. The pain radiates to the right side of the neck and is worsened by deep inspiration and improved by leaning forward. Several weeks ago he had a fever and cough, which have both since improved. He is afebrile, BP is 130/85, and pulse is 88. On examination, there is a scratching sound heard over the left sternal border on expiration. ECG shows ST elevation in leads I, II, III, avL, and V₂ to V₆. The patient is offered treatment but refuses all medications. Which of the following is the most common complication if this disease remains untreated?",Cardiac tamponade,Recurrent pericarditis,Constrictive pericarditis,Ventricular free wall rupture,Valvular insufficiency,,,,,,,,,,,,,,
117,AR-LB,national_official_exam_unofficial_source,"امرأة تبلغ من العمر 52 عاما تعاني من داء سكري وفرط ضغط الدم، تحضر إلى قسم الطوارئ وهي تشكو من حرارة، قشعريرة وألم بطني. لقد بدأت الأعراض منذ حوالي أسبوع وتزداد سوءا. الألم البطني مترافق مع غثيان وإقياء، ولم تكن قادرة على تناول الطعام. عند الفحص، كانت حرارتها 38.9°س، ضغط الدم 104/68 ملم زئبق، سرعة القلب 94/د، وسرعة التنفس 16/د. يظهر الفحص البطني ألم في الجهة اليمنى عند الجس العميق، وإيلام شديد في الزاوية الضلعية الفقرية اليمنى. يظهر الفحص المخبري كثرة كريات دم بيضاء (15.400/ مم³) ويظهر تحليل البول كريات دم بيضاء، أسطوانات كريات دم بيضاء، بروتين، وجراثيم. بالرغم من إعطائها سيفترياكسون وريدي لمدة 5 أيام، لا تزال المريضة تعاني من ارتفاع حرارة. زرع بول المريضة هو إيجابي للإشريكية القولونية وهي حساسة لسيفترياكسون وسيبروفلوكساسين. ما هي الخطوة التالية الأنسب في التدبير العلاجي؟",خزعة كلوية,مسح طبقي محوري مع مادة ظليلة,مواصلة المضاد الحيوي الحالي,إيقاف سيفترياكسون والبدء بسيبروفلوكساسين,إيقاف سيفترياكسون وإعادة زرع البول,2,"A 52-year-old woman with a history of diabetes mellitus and hypertension presents to the emergency department with fevers, chills, and abdominal pain. The symptoms began about 1 week ago and have been getting worse. The abdominal pain is associated with nausea and vomiting, and she has not been able to eat. On examination, her temperature is 38.9°C, blood pressure is 104/68 mm Hg, heart rate is 94/min, and respiratory rate is 16/min. Her abdominal examination shows right-sided pain to deep palpation, and she has severe right-sided costovertebral angle tenderness. Laboratories demonstrate a leukocytosis (15,400/mm³) and urinalysis shows WBCs, WBC casts, protein, and bacteria. Despite IV ceftriaxone for 5 days, the patient remains febrile. The patient's urine culture is positive for Escherichia coli and is sensitive to ceftriaxone and ciprofloxacin. What is the appropriate next step in management?",Renal biopsy,CT scan with contrast,Continue the current antibiotic,Stop ceftriaxone and start ciprofloxacin,Stop ceftriaxone and reculture urine,,,,,,,,,,,,,,
118,AR-LB,national_official_exam_unofficial_source,"لقد تم استدعاؤك لتقييم امرأة تبلغ من العمر 33 عاما تعاني من ضيق تنفس وتسرع قلب. هي تأخذ عادة فلوتيكازون والبوتيرول استنشاقي للربو، لكنها لم تعد تستجيب للألبوتيرول. عند الفحص، تبدو قلقة وتعاني ضيق تنفس معتدل. هناك أزيز ثنائي الجانب عند الفحص السريري، مع طور شهيقي وزفيري مديد واستخدام لعضلات تنفس مساعدة. الحرارة = 37.4°س، النبض = 116، ضغط الدم = 116/56، سرعة التنفس = 36. إشباع الأوكسجين 91% في جو الغرفة. يظهر الفحص استخدام عضلات مساعدة عند الشهيق. يظهر غاز الدم الشرياني PH=7.4، PO2=60 ملم زئبق، وPCO2=40 ملم زئبق. ما هي الخطوة التالية المناسبة في التدبير العلاجي لهذه المريضة؟",زيادة معدل تدفق الأوكسجين التكميلي,كورتيكوستيرويد وريدي,أزيثروميسين,التنبيب,ألبوتيرول إرذاذي,4,"You are paged to come and evaluate a 33-year-old female with shortness of breath and tachycardia. She normally takes inhaled fluticasone and albuterol for asthma, however she is not currently responding to the albuterol. On examination, she appears anxious and is moderately short of breath. There are loud bilateral wheezes on examination, with a prolonged inspiratory and expiratory phase and use of accessory muscles of respiration. Temperature = 37.4°C, pulse = 116, BP = 116/56, RR = 36. Oxygen saturation is 91% on room air. Examination shows use of accessory muscles on inspiration. An arterial blood gas is obtained and shows a pH of 7.4, PO₂ of 60 mm Hg, and PCO₂ of 40 mm Hg. What is the appropriate next step to be taken in the management of this patient?",Increase supplemental oxygen flow rate,IV corticosteroids,Azithromycin,Intubation,Nebulized albuterol,,,,,,,,,,,,,,
119,AR-LB,national_official_exam_unofficial_source,أي من النفخات القلبية التالية تشير إلى وجود عيب صغير في الحاجز البطيني عند ذكر يبلغ من العمر 13 عاما؟,نفخة كبيرة شاملة للانقباض في المساحات الوربية الثالثة والرابعة على طول الحافة القصية اليسرى,نفخة قذفية انقباضية في الحافة القصية اليسرى مع دمدمة انبساطية,نفخة شاملة للانقباض مسموعة بين عظم الكتف,نفخة انقباضية-انبساطية مستمرة,None,1,Which of the following murmurs suggests the presence of a small ventricular septal defect in a 13-year-old male?,Loud holosystolic murmur at the 3rd and 4th intercostal spaces along left sternal border,Systolic ejection murmur at left sternal border with a diastolic rumble,Holosystolic murmur heard between the scapula,A continuous systolo-diastolic murmur,None,,,,,,,,,,,,,,
120,AR-LB,national_official_exam_unofficial_source,العلاج المناسب لالتهاب التامور القيحي يتطلب,كورتيكوستيرويدات,اسبرين,غلوبولين مناعي وريدي,تصريف جراحي,كل الأجوبة أعلاه صحيحة,4,Proper Treatment of Purulent Pericarditis requires:,Corticosteroids,Aspirin,Intravenous immunoglobulin,Surgical Drainage,All of the Above,,,,,,,,,,,,,,
121,FR-LB,national_official_exam_unofficial_source,"Chez les enfants > 2 ans, lequel des énoncés suivants sur l'hypoxie est FAUX?",Peut provoquer des convulsions,Peut conduire à une polycythémie,Un shunt gauche-droit à travers une communication interventriculaire peut provoquer une hypoxie,La réticulocytose est fréquente,None,3,"In children > 2 years, Which of the following about hypoxia is FALSE?",Can cause seizures,Can lead to polycythemia,"Inter ventricular Left to right shunt via a ventricular septal defect, can cause hypoxia",Reticulocytosis is common,None,,,,,,,,,,,,,,
122,FR-LB,national_official_exam_unofficial_source,"Un enfant de 4 ans a été vu en clinique externe en raison d'une faible fièvre et d'une éruption cutanée apparue il y a deux jours. L'éruption cutanée provoquant des démangeaisons, a commencé au début sur la tête et s'est étendue au tronc. Les lésions étaient initialement des papules, puis devinrent vésiculaires et finalement pustuleuses. Les lésions aux trois stades sont visibles. Quel est le diagnostic le plus probable?",Variole,Herpes zoster,Varicelle-zona,Cinquième maladie,None,3,"A 4-year-old child was seen in the outpatient clinic because of a low-grade fever and a rash that started two days ago. The itchy rash initially started on the head and spread to the trunk. The lesions were initially papules, then became vesicular, and finally pustular. Lesions at all three stages are seen. What is the most probable diagnosis?",Smallpox,Herpes zoster,Varicella zoster,Fifth disease,None,,,,,,,,,,,,,,
123,FR-LB,national_official_exam_unofficial_source,"Un homme de 64 ans se présente à votre bureau avec une douleur au genou gauche gonflée. Il a des douleurs occasionnelles aux deux genoux qui sont généralement sourdes et disparaissent avec l'acétaminophène. Au cours des derniers jours, il a eu un gonflement qui a rendu difficile le mouvement de l'articulation. Il y a un an, il avait eu un épisode similaire de gonflement qui s'était résolu de lui-même, mais cet épisode est beaucoup plus grave. Il nie tout traumatisme précédent. Il nie toute raideur matinale. Il a aussi légèrement mal au genou droit, et ne le dérange pas beaucoup. À l'examen physique, il présente un épanchement modéré au genou gauche recouvert d'érythème (pas d'épanchement au genou droit). Il a un crepitus aux deux genoux. La force est normale et l'examen ne révèle aucune instabilité ligamentaire. La radiographie montre un léger rétrécissement de l'interligne articulaire et une calcification du cartilage. L'aspiration de l'épanchement révèle un fluide de couleur jaune, 25 000 GB, 85% de polymorphonucléaire, la coloration de Gram et la culture sont négatifs. L'évaluation des cristaux ne révèle pas de cristaux intracellulaires négativement biréfringents, mais révèle de multiples cristaux intracellulaires de forme rhomboïde biréfringente. Quel est le test de laboratoire le plus approprié à obtenir?",Acide urique,TSH,Anticorps antinucléaire,Vitesse de sédimentation,HLA-B27,2,"A 64-year-old male presents to your office with left knee pain swelling. He has occasional pain in both knees that is usually dull and resolves with acetaminophen. Over the past few days, he has had swelling which has made it difficult to move the joint. He had a similar episode of swelling a year ago that resolved on its own but this episode is much more sever. He denies any preceding trauma. He denies any morning stiffness. He has pain in his right knee as well, but it is mild and does not bother him that much. On physical examination, he has a moderate effusion in his left knee with erythema overlying (no effusion in the right knee). He has crepitus in both knees. Strength is normal, and examination does not indicate any ligamentous instability. X-ray shows mild narrowing of the joint space and calcification of the cartilage. Aspiration of the effusion reveals straw-colored fluid, 25,000 WBCs, 85% polymorphonuclear. Gram stain and culture are negative. Evaluation for crystals reveals no intracellular negatively birefringent crystals, but does reveal multiple intracellular positively birefringent rhomboid-shaped crystals. What is the most appropriate laboratory test to obtain?",Uric acid,Thyroid stimulating hormone,Antinuclear antibodies,Erythrocyte sedimentation rate,HLA-B27,,,,,,,,,,,,,,
